week,day,name,description,duration,exercises
8,3,DELOAD Strength: Upper Body,Significantly reduced load and volume. No WOD to prioritize recovery.,55,"[{""name"": ""Incline Dumbbell Press (light)"", ""sets"": ""2"", ""reps"": ""10-12 (RPE 5-6)""},{""name"": ""Band Rows or Light Seated Cable Rows"", ""sets"": ""2"", ""reps"": ""15""},{""name"": ""Lateral Raises (light)"", ""sets"": ""2"", ""reps"": ""15""},{""name"": ""Band Tricep Pushdowns + Band Bicep Curls"", ""sets"": ""2"", ""reps"": ""15 each""}]"
8,4,Running: DELOAD Very Easy Short Run,Focus on feeling good. ,30,"[{""name"": ""Very Easy Short Run or Cross Training (Bike/Swim)"", ""duration"": ""25-30 min, very low intensity (Zone 1)""}]"
8,5,Hyrox Mental Rehearsal / Light Skill Walk-Through (DELOAD). ,No physical stress. Visualize race plan. ,30,"[{""name"": ""Walk through transitions between 2-3 key stations. Visualize setup and execution. Light technique drills for 1-2 skills if feeling stiff, e.g., 5 air squats to wall ball target."", ""duration"": ""30 min""}]"
8,6,REST,Complete rest. Final prep for anaerobic block. ,0,[]
8,7,REST,Complete rest. Final prep for anaerobic block. ,0,[]
9,1,Strength: Power Focus & Anaerobic Run Intervals. ,Explosive lifts. Very short intense run intervals. (The power work and run intervals are the conditioning for this day).,100,"[{""name"": ""Hang Power Cleans or Power Snatches (light-moderate, focus on speed, RPE 7-8)"", ""sets"": ""5"", ""reps"": ""3-5""},{""name"": ""Jump Squats (weighted or unweighted, focus on height)"", ""sets"": ""3"", ""reps"": ""8-10 (explosive)""},{""name"": ""Plyometric Box Jumps (to moderate box)"", ""sets"": ""3"", ""reps"": ""5-6""},{""name"": ""Core: Medicine Ball Rotational Slams"", ""sets"": ""3"", ""reps"": ""8 per side (explosive)""},{""name"": ""Running: Short Sprint Intervals (Anaerobic)"", ""description"": ""Warm-up 15 min. Then 8-10 x 200m sprints (RPE 9-10, near max effort) with 2-3 min full walk/static recovery. Cool-down 15 min."", ""duration"": ""Approx 60 min total run session""}]"
9,2,Running: Speed Endurance (e.g. 400m repeats). ,Longer anaerobic intervals to build speed endurance. ,70,"[{""name"": ""Warm-up Jog & Dynamic Drills, Strides"", ""duration"": ""20 min""},{""name"": ""Speed Endurance Intervals: 6-8 x 400m at best sustainable 400m pace (RPE 9-10, faster than mile pace) with 3-4 min walk/jog recovery."", ""duration"": ""Approx 30-35 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
9,3,Strength: Power Focus & Hyrox Station Sprints. ,Explosive upper body. Max speed on selected stations. (Hyrox Station Sprints are the conditioning for this day).,90,"[{""name"": ""Plyometric Push-ups or Clapping Push-ups"", ""sets"": ""4"", ""reps"": ""AMRAP (explosive, RPE 8-9)""},{""name"": ""Medicine Ball Chest Pass (for distance/power)"", ""sets"": ""4"", ""reps"": ""6-8 (explosive)""},{""name"": ""Band Resisted Rows (focus on speed of pull)"", ""sets"": ""3"", ""reps"": ""10-12 (explosive)""},{""name"": ""Hyrox Station Sprints: Pick 2 stations (e.g., SkiErg 250m, Sled Push 25m). Perform 4-5 sets of each for MAX SPEED (RPE 9-10), with full recovery (3-4 mins) between efforts. Alternate stations or do all sets for one then move to next."", ""duration"": ""Approx 50 min""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
9,4,Running: Fartlek (Unstructured Speed Play). ,Mix of fast bursts and easy recovery to keep legs sharp without excessive structure. ,60,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Fartlek Run: 30-35 min - Include multiple short bursts (30s to 90s) at high intensity (RPE 9) with ample easy jog recovery. By feel, focus on sharp efforts."", ""duration"": ""30-35 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
9,5,Hyrox Simulation: Race Pace Focus (Full Simulation). ,Full Hyrox simulation aiming for target race pace or slightly faster on some segments. Identify any remaining pacing issues. ,90-110,"[{""name"": ""Warm-up: Exact race day warm-up protocol"", ""duration"": ""15-20 min""},{""name"": ""Full Hyrox Simulation: Execute all 8 stations and 8 x 1km runs. Aim for target race pace (RPE 8-9 overall). Record all splits. Practice nutrition/hydration strategy. Focus on pacing and transitions."", ""duration"": ""60-80 min (depending on target time)""},{""name"": ""Cool Down: Thorough, including light jog/walk, stretching, immediate fueling."", ""duration"": ""15-20 min""}]"
9,6,Active Recovery or REST. ,Very important after a full simulation. ,45,"[{""name"": ""Optional: Very light activity (e.g., 20-30 min easy bike/swim, Zone 1-2) or Full Rest. Focus on sleep and nutrition."", ""duration"": ""30-45 min""}]"
9,7,Running: Easy Run + Short Pickups. ,Keep nervous system primed legs feeling good. ,50,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Easy Run (Zone 1-2)"", ""duration"": ""30 min""},{""name"": ""Short Pickups: 4-6 x 15-20 seconds at a fast but relaxed pace (not sprint, RPE 7-8), with 1 min easy jog recovery."", ""duration"": ""5 min""},{""name"": ""Cool Down Walk"", ""duration"": ""5 min""}]"
10,1,Strength: Power Maintenance & Anaerobic Run. ,Lower volume power work. Very short very intense run efforts. (Power Maintenance and Anaerobic Run elements are the conditioning for this day).,90,"[{""name"": ""Box Jumps (focus on height and landing)"", ""sets"": ""3"", ""reps"": ""5 (explosive)""},{""name"": ""Kettlebell Snatches (light-moderate, explosive)"", ""sets"": ""3"", ""reps"": ""5-8 per arm (RPE 7-8)""},{""name"": ""Broad Jumps (for distance)"", ""sets"": ""2"", ""reps"": ""5 (explosive)""},{""name"": ""Running: Flying 30s (Anaerobic Speed)"", ""description"": ""Warm-up 15 min including build-up sprints. Then 6-8 x 30m MAX EFFORT sprints from a rolling start (20-30m build-up). Full 3-4 min walk recovery. Cool-down 15 min."", ""duration"": ""Approx 60 min total run session""}]"
10,2,Running: Short Intervals (Race Pace Prep). ,Short reps at or faster than target 1k Hyrox pace. ,60,"[{""name"": ""Warm-up Jog & Dynamic Drills, Strides"", ""duration"": ""20 min""},{""name"": ""Race Pace Intervals: 8-10 x 300m at slightly faster than target 1km Hyrox run pace (RPE 8-9), with 90s-2min active (walk/slow jog) recovery."", ""duration"": ""Approx 25-30 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
10,3,Strength: Power Maintenance & Hyrox Station Bursts. ,Upper body explosive work. Short sharp station efforts. (Hyrox Station Bursts are the conditioning for this day).,75,"[{""name"": ""Medicine Ball Overhead Throws (for height, explosive)"", ""sets"": ""3"", ""reps"": ""6-8 (explosive)""},{""name"": ""Band Resisted Punches or Explosive Cable Rows"", ""sets"": ""3"", ""reps"": ""8-10 per side (max speed)""},{""name"": ""Hyrox Station Bursts: Pick 1-2 key stations (e.g., Wall Balls, Sled Push). Perform 3-4 sets of very short duration (e.g., 10 Wall Balls for speed, 15m Sled Push MAX effort, RPE 9-10). Full recovery (3-4 mins)."", ""duration"": ""Approx 40 min""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
10,4,Running: Easy Shakeout + Strides (Short). ,Keep legs fresh. ,40,"[{""name"": ""Warm-up Jog"", ""duration"": ""5 min""},{""name"": ""Easy Run (Zone 1)"", ""duration"": ""25 min""},{""name"": ""Strides: 3-4 x 80-100m (smooth and fast, RPE 6-7)"", ""duration"": ""5 min""},{""name"": ""Cool Down Walk"", ""duration"": ""5 min""}]"
10,5,Hyrox Specific: Transition Practice & Final Run Through (Short). ,Focus on smooth fast transitions. Very short work bouts on a few stations if desired very light. ,50,"[{""name"": ""Warm-up: Light dynamic"", ""duration"": ""10 min""},{""name"": ""Transition Practice: Set up 3-4 stations. Practice moving from one to the next efficiently. Perform 1-2 reps or very short duration (e.g., 5 sec SkiErg, 1 burpee, 5m carry) on each station to simulate flow. Repeat 2-3 times. No metabolic stress. Focus on mental flow."", ""duration"": ""Approx 30 min""},{""name"": ""Cool Down & Mental Prep"", ""duration"": ""10 min""}]"
10,6,REST. ,Final major rest day before taper week. ,0,[]
10,7,REST. ,Final major rest day before taper week. ,0,[]
11,1,TAPER Strength: Very Light Power & Mobility,Extremely light just to stay neurologically primed. No WOD during taper.,45,"[{""name"": ""Bodyweight Jump Squats"", ""sets"": ""2"", ""reps"": ""5 (explosive, RPE 5)""},{""name"": ""Light Kettlebell Swings"", ""sets"": ""2"", ""reps"": ""8-10 (RPE 5)""},{""name"": ""Band Pull-Aparts"", ""sets"": ""2"", ""reps"": ""15""},{""name"": ""Full Body Dynamic Mobility Circuit (e.g., leg swings, arm circles, cat-cow)"", ""duration"": ""20 min""}]"
11,2,TAPER Running: Very Short & Easy + Race Pace Snippets,Keep the legs turning over. Remind body of race pace. ,35,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Easy Run (Zone 1)"", ""duration"": ""15 min""},{""name"": ""Race Pace Snippets: 2-3 x 200m at target Hyrox 1km run pace (NOT faster, RPE 7-8), with full walk/jog recovery."", ""duration"": ""5 min""},{""name"": ""Cool Down Walk"", ""duration"": ""5 min""}]"
11,3,TAPER Strength: Mobility & Activation,Focus on feeling good. No WOD during taper.,30,"[{""name"": ""Foam Rolling & Static Stretching"", ""duration"": ""15 min""},{""name"": ""Activation: Glute bridges, bird-dogs, plank"", ""sets"": ""1-2"", ""reps"": ""10-15 each (light RPE)""}]"
11,4,TAPER Running: Very Easy Short Run (Optional),Only if feeling restless otherwise rest. ,20-25,"[{""name"": ""Optional: Very easy 15-20 min jog or walk (Zone 1). Listen to your body and prioritize rest."", ""duration"": ""15-20 min""}]"
11,5,Travel / Full REST,If traveling to event do it today. Otherwise complete rest. Visualize.,0,[]
11,6,Pre-Race: Very Light Shakeout / Activation (Optional). ,Morning before race OR day before if race is late. Extremely light. ,15-20,"[{""name"": ""Optional: 10-15 min walk with 2-3 very short (15-20 sec) easy run pick-ups (RPE 5-6). Or a few bodyweight air squats and arm circles. Main goal is mental preparedness and feeling loose."", ""duration"": ""10-15 min""}]"
11,7,REST (or day before event - full rest),Final rest. Hydrate and fuel strategically. Review race plan. ,0,[]
12,1,REST (or day before event - full rest),Focus on mental preparation. ,0,[]
12,2,REST (or day before event - full rest),Final check of gear. Relax. ,0,[]
12,3,Travel / REST / Very Light Shakeout (If race is PM or next day). ,Very light movement if it helps settle nerves otherwise rest.,15,"[{""name"": ""Optional: 10-15min walk, very light jog (Zone 1). Or just rest."", ""duration"": ""10-15 min""}]"
12,4,REST,Final prep for a PM race or full rest for next day event. ,0,[]
12,5,HYROX EVENT DAY (If on a Friday or earlier for example). ,Execute your refined race strategy. Trust the extensive preparation. ,0,"[{""name"": ""Pre-Race Warm-up (Practiced Protocol)"", ""duration"": ""Event Specific""},{""name"": ""HYROX RACE - PEAK PERFORMANCE!"", ""duration"": ""Event Specific""},{""name"": ""Post-Race Recovery Protocol (Refuel, Rehydrate, Light Movement)"", ""duration"": ""Event Specific""}]"
12,6,HYROX EVENT DAY (Typical Saturday). ,Execute your refined race strategy. Trust the extensive preparation. ,0,"[{""name"": ""Pre-Race Warm-up (Practiced Protocol)"", ""duration"": ""Event Specific""},{""name"": ""HYROX RACE - PEAK PERFORMANCE!"", ""duration"": ""Event Specific""},{""name"": ""Post-Race Recovery Protocol (Refuel, Rehydrate, Light Movement)"", ""duration"": ""Event Specific""}]"
12,7,Active Recovery / REST. ,Celebrate. Begin recovery process. Light walk if feeling up to it. ,30-60,"[{""name"": ""Optional: Gentle walk (Zone 1), very light swim, or full rest. Focus on nutrition and rehydration. Reflect on performance."", ""duration"": ""30-60 min""}]"
